store_id,field,values,source_record_keys
7b487060-2b51-4736-ac6c-0bc758931bcc,merchant_no,"[""0448623550"", ""0418623550""]",stores_20260907.xlsx:Sheet1:74614|stores_20260907.xlsx:Sheet1:82183
4194251c-d9de-4612-8e25-a70ccbe97a98,item,"[""떡류"", ""떡""]",stores_20260907.xlsx:Sheet1:175288|stores_20260907.xlsx:Sheet1:74685
783b2fa2-3705-45b0-a51a-67f96efd78f0,item,"[""한식"", ""음식(한식)""]",stores_20260907.xlsx:Sheet1:125451|stores_20260907.xlsx:Sheet1:76348
783b2fa2-3705-45b0-a51a-67f96efd78f0,geo,"[{""latitude"": 37.545390843, ""longitude"": 127.32014998}, {""latitude"": 37.5453908811, ""longitude"": 127.3201499797}]",stores_20260907.xlsx:Sheet1:125451|stores_20260907.xlsx:Sheet1:76348
e789e5cc-5fab-48ed-b489-5a6ac68d6d07,item,"[""곡물 등"", ""곡물, 농산물""]",stores_20260907.xlsx:Sheet1:107598|stores_20260907.xlsx:Sheet1:77629
e789e5cc-5fab-48ed-b489-5a6ac68d6d07,geo,"[{""latitude"": 36.502415631, ""longitude"": 126.624917569}, {""latitude"": 36.5024, ""longitude"": 126.6249}]",stores_20260907.xlsx:Sheet1:107598|stores_20260907.xlsx:Sheet1:77629
e789e5cc-5fab-48ed-b489-5a6ac68d6d07,card_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:107598|stores_20260907.xlsx:Sheet1:77629
e789e5cc-5fab-48ed-b489-5a6ac68d6d07,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:107598|stores_20260907.xlsx:Sheet1:77629
d9eeb93e-22de-4a41-9d96-d2d345d16da3,geo,"[{""latitude"": 36.458690157, ""longitude"": 127.12505632}, {""latitude"": 36.458675, ""longitude"": 127.12512}]",stores_20260907.xlsx:Sheet1:77963|stores_20260907.xlsx:Sheet1:83528
d9eeb93e-22de-4a41-9d96-d2d345d16da3,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:77963|stores_20260907.xlsx:Sheet1:83528
cbc564b1-c3c0-454c-a12a-002ac626edff,geo,"[{""latitude"": 37.559395, ""longitude"": 126.97796}, {""latitude"": 37.559104147, ""longitude"": 126.977651212}]",stores_20260907.xlsx:Sheet1:78976|stores_20260907.xlsx:Sheet1:85062
cbc564b1-c3c0-454c-a12a-002ac626edff,mobile_payment,"[np.False_, np.True_]",stores_20260907.xlsx:Sheet1:78976|stores_20260907.xlsx:Sheet1:85062
0c5daaf1-4cfe-4725-9776-be6cafa40492,merchant_no,"[""0437337352"", ""0437312380""]",stores_20260907.xlsx:Sheet1:80519|stores_20260907.xlsx:Sheet1:82717
0ee6502a-e684-4b6c-9212-b6ed4e0ae096,item,"[""돼지고기 소고기"", ""한식""]",stores_20260907.xlsx:Sheet1:181215|stores_20260907.xlsx:Sheet1:83314
0ee6502a-e684-4b6c-9212-b6ed4e0ae096,geo,"[{""latitude"": 37.611990729, ""longitude"": 127.064337714}, {""latitude"": 37.611990767, ""longitude"": 127.0643377137}]",stores_20260907.xlsx:Sheet1:181215|stores_20260907.xlsx:Sheet1:83314
c27b1a91-f303-4b78-92b3-2ba9b76428ba,item,"[""철물 공구"", ""공구""]",stores_20260907.xlsx:Sheet1:153392|stores_20260907.xlsx:Sheet1:84793
443c3edf-f900-4929-b414-a7e92960c75e,card_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:108028|stores_20260907.xlsx:Sheet1:85480
6d644a9e-6b4e-4584-a58b-451ebf8ddc67,item,"[""순대국"", ""음식물판매""]",stores_20260907.xlsx:Sheet1:88343|stores_20260907.xlsx:Sheet1:92827
e9a43b1e-d1a1-47a8-8683-9571d5d99bea,geo,"[{""latitude"": 35.873425, ""longitude"": 128.59756}, {""latitude"": 35.873459587, ""longitude"": 128.597580845}]",stores_20260907.xlsx:Sheet1:90537|stores_20260907.xlsx:Sheet1:90702
e9a43b1e-d1a1-47a8-8683-9571d5d99bea,mobile_payment,"[np.False_, np.True_]",stores_20260907.xlsx:Sheet1:90537|stores_20260907.xlsx:Sheet1:90702
72f39ae3-2758-4504-bfb2-146e8b2984c1,item,"[""고추.참기름"", ""고추가루, 참기름""]",stores_20260907.xlsx:Sheet1:100096|stores_20260907.xlsx:Sheet1:93733
ec2a5b94-6d2b-475d-94ef-b57d42474c5a,item,"[""화장품"", ""화장품류""]",stores_20260907.xlsx:Sheet1:94272|stores_20260907.xlsx:Sheet1:99500
ec2a5b94-6d2b-475d-94ef-b57d42474c5a,geo,"[{""latitude"": 36.130411605, ""longitude"": 128.329725216}, {""latitude"": 36.130466, ""longitude"": 128.32976}]",stores_20260907.xlsx:Sheet1:94272|stores_20260907.xlsx:Sheet1:99500
ec2a5b94-6d2b-475d-94ef-b57d42474c5a,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:94272|stores_20260907.xlsx:Sheet1:99500
95c1db5e-24b6-4432-b2b5-cc4a3b72460f,item,"[""누룽지"", ""한식""]",stores_20260907.xlsx:Sheet1:109056|stores_20260907.xlsx:Sheet1:96559
95c1db5e-24b6-4432-b2b5-cc4a3b72460f,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:109056|stores_20260907.xlsx:Sheet1:96559
1178c126-61e3-4c7a-a000-10d9f4168b22,item,"[""약재"", ""식품, 과채중탕 음식점업""]",stores_20260907.xlsx:Sheet1:100422|stores_20260907.xlsx:Sheet1:97611
50a1b9a8-e1ec-4758-b734-c391a4a32e29,geo,"[{""latitude"": 36.8680867439, ""longitude"": 128.5342207932}, {""latitude"": 36.867935, ""longitude"": 128.53433}]",stores_20260907.xlsx:Sheet1:201503|stores_20260907.xlsx:Sheet1:99144
